The top 10 users who have tweeted the most for every hour.
Tweet ID:DiSH_TRiXS_4K, Tweet Time:20/Feb/2018:00, Tweet Count:4
Tweet ID:nneusj, Tweet Time:20/Feb/2018:00, Tweet Count:2
Tweet ID:﻿tirtho1712, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:jero4949, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:KaniShain, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:republic, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:JimmyNeesh, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:SouthernStars, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:djkanchan28, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:PJGoedhals, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:NSWBreakers, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:PhaniKumarVK, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:JezzahT1, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:michaeljmcniffe, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:helen03chris, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:AllAboutCrick3t, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:avanna_amatus, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:Aplusplusplus, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:pawan9843399035, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:Ap_Dimes, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:comedianlonnie, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:_ryanmaguire, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:furqanmajidpk, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:mithu796311, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:leaderqueen, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:valentine_robot, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:lgsshedden, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:ajayydv11, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:ajitraybaghel, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:feryooit, Tweet Time:20/Feb/2018:00, Tweet Count:1
Tweet ID:Camalamalamalam, Tweet Time:20/Feb/2018:00, Tweet Count:1
